row_index,WTUR.TmHvElt.actTmVal
792,49638.69
793,49638.69
794,49638.69
795,49638.69
796,49638.7
797,49638.7
798,49638.7
799,49638.7
800,49638.7
801,49638.71
802,49638.71
803,49638.71
804,49638.71
805,49638.71
806,49638.72
807,49638.72
808,49638.72
809,49638.72
810,49638.72
811,49638.73
812,49638.73
813,49638.73
814,49638.73
815,49638.73
816,49638.74
817,49638.74
818,49638.74
819,49638.74
820,49638.74
821,49638.75
822,49638.75
823,49638.75
824,49638.75
825,49638.75
826,49638.76
827,49638.76
828,49638.76
829,49638.76
830,49638.76
831,49638.77
832,49638.77
833,49638.77
834,49638.77
835,49638.77
836,49638.78
837,49638.78
838,49638.78
839,49638.78
840,49638.78
841,49638.78
842,49638.79
843,49638.79
844,49638.79
845,49638.79
846,49638.79
847,49638.8
848,49638.8
849,49638.8
850,49638.8
851,49638.8
852,49638.81
853,49638.81
854,49638.81
855,49638.81
856,49638.81
857,49638.82
858,49638.82
859,49638.82
860,49638.82
861,49638.82
862,49638.83
863,49638.83
864,49638.83
865,49638.83
866,49638.83
867,49638.84
868,49638.84
869,49638.84
870,49638.84
871,49638.84
872,49638.85
873,49638.85
874,49638.85
875,49638.85
876,49638.85
877,49638.86
878,49638.86
879,49638.86
880,49638.86
881,49638.86
882,49638.87
883,49638.87
884,49638.87
885,49638.87
886,49638.87
887,49638.88
888,49638.88
889,49638.88
890,49638.88
891,49638.88
892,49638.89
893,49638.89
894,49638.89
895,49638.89
896,49638.89
897,49638.9
898,49638.9
899,49638.9
900,49638.9
901,49638.9
902,49638.91
903,49638.91
904,49638.91
905,49638.91
906,49638.91
907,49638.92
908,49638.92
909,49638.92
910,49638.92
911,49638.92
912,49638.93
913,49638.93
914,49638.93
915,49638.93
916,49638.93
917,49638.94
918,49638.94
919,49638.94
920,49638.94
921,49638.94
922,49638.95
923,49638.95
924,49638.95
925,49638.95
926,49638.95
927,49638.96
928,49638.96
929,49638.96
930,49638.96
931,49638.96
932,49638.97
933,49638.97
934,49638.97
935,49638.97
936,49638.97
937,49638.98
938,49638.98
939,49638.98
940,49638.98
941,49638.98
942,49638.99
943,49638.99
944,49638.99
945,49638.99
946,49638.99
947,49639.0
948,49639.0
949,49639.0
950,49639.0
951,49639.0
952,49639.01
953,49639.01
954,49639.01
955,49639.01
956,49639.01
957,49639.02
958,49639.02
959,49639.02
960,49639.02
961,49639.02
962,49639.03
963,49639.03
964,49639.03
965,49639.03
966,49639.03
967,49639.04
968,49639.04
969,49639.04
970,49639.04
971,49639.04
972,49639.05
973,49639.05
974,49639.05
975,49639.05
976,49639.05
977,49639.06
978,49639.06
979,49639.06
980,49639.06
981,49639.06
982,49639.07
983,49639.07
984,49639.07
985,49639.07
986,49639.07
987,49639.08
988,49639.08
989,49639.08
990,49639.08
991,49639.08
992,49639.09
993,49639.09
994,49639.09
995,49639.09
996,49639.09
997,49639.1
998,49639.1
999,49639.1
1000,49639.1
1001,49639.1
1002,49639.11
1003,49639.11
1004,49639.11
1005,49639.11
1006,49639.11
1007,49639.12
1008,49639.12
1009,49639.12
1010,49639.12
1011,49639.12
1012,49639.12
1013,49639.13
1014,49639.13
1015,49639.13
1016,49639.13
1017,49639.13
1018,49639.14
1019,49639.14
1020,49639.14
1021,49639.14
