row_index,WROT.PtTurnOnTmp.Bl3
1039,4.59
1040,4.59
1041,4.59
1042,4.59
1043,4.59
1044,4.59
1045,4.59
1046,4.59
1047,4.59
1048,4.59
1049,4.59
1050,4.59
1051,4.59
1052,4.59
1053,4.59
1054,4.59
1055,4.59
1056,4.59
1057,4.59
1058,4.59
1059,4.59
1060,4.59
1061,4.59
1062,4.59
1063,4.59
1064,4.59
1065,4.59
1066,4.59
1067,4.59
1068,4.59
1069,4.59
1070,4.59
1071,4.59
1072,4.59
1073,4.59
1074,4.59
1075,4.59
1076,4.59
1077,4.59
1078,4.59
1079,4.59
1080,4.59
1081,4.59
1082,4.59
1083,4.59
1084,4.59
1085,4.59
1086,4.59
1087,4.59
1088,4.59
1089,4.59
1090,4.59
1091,4.59
1092,4.59
1093,4.59
1094,4.59
1095,4.59
1096,4.59
1097,4.59
1098,4.59
1099,4.59
1100,4.59
1101,4.59
1102,4.59
1103,4.59
1104,4.59
1105,4.59
1106,4.59
1107,4.59
1108,4.59
1109,4.59
1110,4.59
1111,4.59
1112,4.59
1113,4.59
1114,4.59
1115,4.59
1116,4.59
1117,4.59
1118,4.59
1119,4.59
1120,4.59
1121,4.59
1122,4.59
1123,4.59
1124,4.59
1125,4.59
1126,4.59
1127,4.59
1128,4.59
1129,4.59
1130,4.59
1131,4.59
1132,4.59
1133,4.59
1134,4.59
1135,4.59
1136,4.59
1137,4.59
1138,4.59
1139,4.59
1140,4.59
1141,4.59
1142,4.59
1143,4.59
1144,4.59
1145,4.59
1146,4.59
1147,4.59
1148,4.59
1149,4.59
1150,4.59
1151,4.59
1152,4.59
1153,4.59
1154,4.5
1155,4.59
1156,4.59
1157,4.5
1158,4.5
1159,4.59
1160,4.5
1161,4.5
1162,4.5
1163,4.5
1164,4.5
1165,4.5
1166,4.5
1167,4.5
1168,4.5
1169,4.5
1170,4.5
1171,4.5
1172,4.5
1173,4.5
1174,4.5
1175,4.5
1176,4.5
1177,4.5
1178,4.5
1179,4.5
1180,4.59
1181,4.5
1182,4.5
1183,4.5
1184,4.5
1185,4.5
1186,4.5
1187,4.59
1188,4.59
1189,4.59
1190,4.59
1191,4.59
1192,4.59
1193,4.59
1194,4.59
1195,4.59
1196,4.59
1197,4.59
1198,4.59
1199,4.59
1200,4.5
1201,4.5
1202,4.59
1203,4.59
1204,4.59
1205,4.5
1206,4.5
1207,4.5
1208,4.5
1209,4.5
1210,4.5
1211,4.5
1212,4.5
1213,4.5
1214,4.5
1215,4.5
1216,4.5
1217,4.5
1218,4.5
1219,4.5
1220,4.5
1221,4.5
1222,4.5
1223,4.5
1224,4.5
1225,4.5
1226,4.5
1227,4.5
1228,4.5
1229,4.5
1230,4.5
1231,4.5
1232,4.5
1233,4.5
1234,4.5
1235,4.59
1236,4.5
1237,4.5
1238,4.5
1239,4.59
1240,4.5
1241,4.5
1242,4.59
1243,4.5
1244,4.59
1245,4.59
