row_index,WTUR.converterMainBreakerCount
575,976501400.0000001
576,976501400.0000001
577,976501400.0000001
578,976501400.0000001
579,976501400.0000001
580,976501400.0000001
581,976501400.0000001
582,976501400.0000001
583,976501400.0000001
584,976501400.0000001
585,976501400.0000001
586,976501400.0000001
587,976501400.0000001
588,976501400.0000001
589,976501400.0000001
590,976501400.0000001
591,976501400.0000001
592,976501400.0000001
593,976501400.0000001
594,976501400.0000001
595,976501400.0000001
596,976501400.0000001
597,976501400.0000001
598,976501400.0000001
599,976501400.0000001
600,976501400.0000001
601,976501400.0000001
602,976501400.0000001
603,976501400.0000001
604,976501400.0000001
605,976501400.0000001
606,976501400.0000001
607,976501400.0000001
608,976501400.0000001
609,976501400.0000001
610,976501400.0000001
611,976501400.0000001
612,976501400.0000001
613,976501400.0000001
614,976501400.0000001
615,976501400.0000001
616,976501400.0000001
617,976501400.0000001
618,976501400.0000001
619,976501400.0000001
620,976501400.0000001
621,976501400.0000001
622,976501400.0000001
623,976501400.0000001
624,976501400.0000001
625,976501400.0000001
626,976501400.0000001
627,976501400.0000001
628,976501400.0000001
629,976501400.0000001
630,976501400.0000001
631,976501400.0000001
632,976501400.0000001
633,976501400.0000001
634,976501400.0000001
635,976501400.0000001
636,976501400.0000001
637,976501400.0000001
638,976501400.0000001
639,976501400.0000001
640,976501400.0000001
641,976501400.0000001
642,976501400.0000001
643,976501400.0000001
644,976501400.0000001
645,976501400.0000001
646,976501400.0000001
647,976501400.0000001
648,976501400.0000001
649,976501400.0000001
650,976501400.0000001
651,976501400.0000001
652,976501400.0000001
653,976501400.0000001
654,976501400.0000001
655,976501400.0000001
656,976501400.0000001
657,976501400.0000001
658,976501400.0000001
659,976501400.0000001
660,976501400.0000001
661,976501400.0000001
662,976501400.0000001
663,976501400.0000001
664,976501400.0000001
665,976501400.0000001
666,976501400.0000001
667,976501400.0000001
668,976501400.0000001
669,976501400.0000001
670,976501400.0000001
671,976501400.0000001
672,976501400.0000001
673,976501400.0000001
674,976501400.0000001
675,976501400.0000001
676,976501400.0000001
677,976501400.0000001
678,976501400.0000001
679,976501400.0000001
680,976501400.0000001
681,976501400.0000001
682,976501400.0000001
683,976501400.0000001
684,976501400.0000001
685,976501400.0000001
686,976501400.0000001
687,976501400.0000001
688,976501400.0000001
689,976501400.0000001
690,976501400.0000001
691,976501400.0000001
692,976501400.0000001
693,976501400.0000001
694,976501400.0000001
695,976501400.0000001
696,976501400.0000001
697,976501400.0000001
698,976501400.0000001
699,976501400.0000001
700,976501400.0000001
701,976501400.0000001
702,976501400.0000001
703,976501400.0000001
704,976501400.0000001
705,976501400.0000001
706,976501400.0000001
707,976501400.0000001
708,976501400.0000001
709,976501400.0000001
710,976501400.0000001
711,976501400.0000001
712,976501400.0000001
713,976501400.0000001
714,976501400.0000001
715,976501400.0000001
716,976501400.0000001
717,976501400.0000001
718,976501400.0000001
719,976501400.0000001
720,976501400.0000001
721,976501400.0000001
722,976501400.0000001
723,976501400.0000001
724,976501400.0000001
725,976501400.0000001
726,976501400.0000001
727,976501400.0000001
728,976501400.0000001
729,976501400.0000001
730,976501400.0000001
731,976501400.0000001
732,976501400.0000001
733,976501400.0000001
734,976501400.0000001
735,976501400.0000001
736,976501400.0000001
737,976501400.0000001
738,976501400.0000001
739,976501400.0000001
740,976501400.0000001
741,976501400.0000001
742,976501400.0000001
743,976501400.0000001
744,976501400.0000001
745,976501400.0000001
746,976501400.0000001
747,976501400.0000001
748,976501400.0000001
749,976501400.0000001
750,976501400.0000001
751,976501400.0000001
752,976501400.0000001
753,976501400.0000001
754,976501400.0000001
755,976501400.0000001
756,976501400.0000001
757,976501400.0000001
758,976501400.0000001
759,976501400.0000001
760,976501400.0000001
761,976501400.0000001
762,976501400.0000001
763,976501400.0000001
764,976501400.0000001
765,976501400.0000001
766,976501400.0000001
767,976501400.0000001
768,976501400.0000001
