row_index,WYAW.WkHours.Mt3
1786,1107.46
1787,1107.46
1788,1107.46
1789,1107.46
1790,1107.46
1791,1107.46
1792,1107.46
1793,1107.46
1794,1107.46
1795,1107.46
1796,1107.46
1797,1107.46
1798,1107.46
1799,1107.46
1800,1107.46
1801,1107.46
1802,1107.46
1803,1107.46
1804,1107.46
1805,1107.46
1806,1107.46
1807,1107.46
1808,1107.46
1809,1107.46
1810,1107.46
1811,1107.46
1812,1107.46
1813,1107.46
1814,1107.46
1815,1107.46
1816,1107.46
1817,1107.46
1818,1107.46
1819,1107.46
1820,1107.46
1821,1107.46
1822,1107.46
1823,1107.46
1824,1107.46
1825,1107.46
1826,1107.46
1827,1107.46
1828,1107.46
1829,1107.46
1830,1107.46
1831,1107.46
1832,1107.46
1833,1107.46
1834,1107.46
1835,1107.46
1836,1107.46
1837,1107.46
1838,1107.46
1839,1107.46
1840,1107.46
1841,1107.46
1842,1107.46
1843,1107.46
1844,1107.46
1845,1107.46
1846,1107.46
1847,1107.46
1848,1107.46
1849,1107.46
1850,1107.46
1851,1107.46
1852,1107.46
1853,1107.46
1854,1107.46
1855,1107.46
1856,1107.46
1857,1107.46
1858,1107.46
1859,1107.46
1860,1107.46
1861,1107.46
1862,1107.46
1863,1107.46
1864,1107.46
1865,1107.46
1866,1107.46
1867,1107.46
1868,1107.46
1869,1107.46
1870,1107.46
1871,1107.46
1872,1107.46
1873,1107.46
1874,1107.46
1875,1107.46
1876,1107.46
1877,1107.46
1878,1107.46
1879,1107.46
1880,1107.46
1881,1107.46
1882,1107.46
1883,1107.46
1884,1107.46
1885,1107.46
1886,1107.46
1887,1107.46
1888,1107.46
1889,1107.46
1890,1107.46
1891,1107.46
1892,1107.46
1893,1107.46
1894,1107.46
1895,1107.46
1896,1107.46
1897,1107.46
1898,1107.46
1899,1107.46
1900,1107.46
1901,1107.46
1902,1107.46
1903,1107.46
1904,1107.46
1905,1107.46
1906,1107.46
1907,1107.46
1908,1107.46
1909,1107.46
1910,1107.46
1911,1107.46
1912,1107.46
1913,1107.46
1914,1107.46
1915,1107.46
1916,1107.46
1917,1107.46
1918,1107.46
1919,1107.46
1920,1107.46
1921,1107.46
1922,1107.46
1923,1107.46
1924,1107.46
1925,1107.46
1926,1107.46
1927,1107.46
1928,1107.46
1929,1107.46
1930,1107.46
1931,1107.46
1932,1107.46
1933,1107.46
1934,1107.46
1935,1107.46
1936,1107.46
1937,1107.46
1938,1107.46
1939,1107.46
1940,1107.46
1941,1107.46
1942,1107.46
1943,1107.46
1944,1107.46
1945,1107.46
1946,1107.46
1947,1107.46
1948,1107.46
1949,1107.46
1950,1107.46
1951,1107.46
1952,1107.46
1953,1107.46
1954,1107.46
1955,1107.46
1956,1107.46
1957,1107.46
1958,1107.46
1959,1107.46
1960,1107.46
1961,1107.46
1962,1107.46
1963,1107.46
1964,1107.46
1965,1107.46
1966,1107.46
1967,1107.46
1968,1107.46
1969,1107.46
1970,1107.46
1971,1107.46
1972,1107.46
1973,1107.46
1974,1107.46
1975,1107.46
1976,1107.46
1977,1107.46
1978,1107.46
1979,1107.46
1980,1107.46
1981,1107.46
1982,1107.46
1983,1107.46
1984,1107.46
1985,1107.46
1986,1107.46
1987,1107.46
1988,1107.46
1989,1107.46
1990,1107.46
1991,1107.46
1992,1107.46
1993,1107.46
1994,1107.46
1995,1107.46
1996,1107.46
1997,1107.46
1998,1107.46
1999,1107.46
2000,1107.46
2001,1107.46
2002,1107.46
2003,1107.46
2004,1107.46
2005,1107.46
2006,1107.46
2007,1107.46
2008,1107.46
2009,1107.46
2010,1107.46
2011,1107.46
2012,1107.46
2013,1107.46
2014,1107.46
2015,1107.46
2016,1107.46
2017,1107.46
2018,1107.46
2019,1107.46
2020,1107.46
2021,1107.46
2022,1107.46
2023,1107.46
2024,1107.46
2025,1107.46
2026,1107.46
2027,1107.46
2028,1107.46
2029,1107.46
2030,1107.46
2031,1107.46
2032,1107.46
2033,1107.46
2034,1107.46
2035,1107.46
2036,1107.46
2037,1107.46
2038,1107.46
2039,1107.46
2040,1107.46
2041,1107.46
2042,1107.46
2043,1107.46
2044,1107.46
2045,1107.46
2046,1107.46
2047,1107.46
2048,1107.46
2049,1107.46
2050,1107.46
2051,1107.46
2052,1107.46
2053,1107.46
2054,1107.46
2055,1107.46
2056,1107.46
2057,1107.46
2058,1107.46
2059,1107.46
2060,1107.46
2061,1107.46
2062,1107.46
2063,1107.46
2064,1107.46
2065,1107.46
2066,1107.46
2067,1107.46
2068,1107.46
2069,1107.46
2070,1107.46
2071,1107.46
2072,1107.46
2073,1107.46
2074,1107.46
2075,1107.46
2076,1107.46
2077,1107.46
2078,1107.46
2079,1107.46
2080,1107.46
2081,1107.46
2082,1107.46
2083,1107.46
2084,1107.46
2085,1107.46
2086,1107.46
2087,1107.46
2088,1107.46
2089,1107.46
2090,1107.46
2091,1107.46
2092,1107.46
2093,1107.46
2094,1107.46
2095,1107.46
2096,1107.46
2097,1107.46
2098,1107.46
2099,1107.46
2100,1107.46
2101,1107.46
2102,1107.46
2103,1107.46
2104,1107.46
2105,1107.46
2106,1107.46
2107,1107.46
2108,1107.46
2109,1107.46
2110,1107.46
2111,1107.46
2112,1107.46
2113,1107.46
2114,1107.46
2115,1107.46
2116,1107.46
2117,1107.46
2118,1107.46
2119,1107.46
2120,1107.46
2121,1107.46
2122,1107.46
2123,1107.46
2124,1107.46
2125,1107.46
2126,1107.46
2127,1107.46
2128,1107.46
2129,1107.46
2130,1107.46
2131,1107.46
2132,1107.46
2133,1107.46
2134,1107.46
2135,1107.46
2136,1107.46
2137,1107.46
2138,1107.46
2139,1107.46
2140,1107.46
2141,1107.46
2142,1107.46
2143,1107.46
2144,1107.46
2145,1107.46
2146,1107.46
2147,1107.46
2148,1107.46
2149,1107.46
2150,1107.46
2151,1107.46
2152,1107.46
2153,1107.46
2154,1107.46
2155,1107.46
2156,1107.46
2157,1107.46
2158,1107.46
2159,1107.46
2160,1107.46
2161,1107.46
2162,1107.46
2163,1107.46
2164,1107.46
2165,1107.46
2166,1107.46
2167,1107.46
2168,1107.46
2169,1107.46
2170,1107.46
2171,1107.46
2172,1107.46
2173,1107.46
2174,1107.46
2175,1107.46
2176,1107.46
2177,1107.46
2178,1107.46
2179,1107.46
2180,1107.46
2181,1107.46
2182,1107.46
2183,1107.46
2184,1107.46
2185,1107.46
2186,1107.46
2187,1107.46
2188,1107.46
2189,1107.46
2190,1107.46
2191,1107.46
2192,1107.46
2193,1107.46
2194,1107.46
2195,1107.46
2196,1107.46
2197,1107.46
2198,1107.46
2199,1107.46
2200,1107.46
2201,1107.46
2202,1107.46
2203,1107.46
2204,1107.46
2205,1107.46
2206,1107.46
2207,1107.46
2208,1107.46
2209,1107.46
2210,1107.46
2211,1107.46
2212,1107.46
2213,1107.46
2214,1107.46
2215,1107.46
2216,1107.46
2217,1107.46
2218,1107.46
2219,1107.46
2220,1107.46
2221,1107.46
2222,1107.46
2223,1107.46
2224,1107.46
2225,1107.46
2226,1107.46
2227,1107.46
2228,1107.46
2229,1107.46
2230,1107.46
2231,1107.46
2232,1107.46
2233,1107.46
2234,1107.46
2235,1107.46
2236,1107.46
2237,1107.46
2238,1107.46
2239,1107.46
2240,1107.46
2241,1107.46
2242,1107.46
2243,1107.46
2244,1107.46
2245,1107.46
2246,1107.46
2247,1107.46
2248,1107.46
2249,1107.46
2250,1107.46
2251,1107.46
2252,1107.46
2253,1107.46
2254,1107.46
2255,1107.46
2256,1107.46
2257,1107.46
2258,1107.46
2259,1107.46
2260,1107.46
2261,1107.46
2262,1107.46
2263,1107.46
2264,1107.46
2265,1107.46
2266,1107.46
2267,1107.46
2268,1107.46
2269,1107.46
2270,1107.46
2271,1107.46
2272,1107.46
2273,1107.46
2274,1107.46
2275,1107.46
2276,1107.46
2277,1107.46
2278,1107.46
2279,1107.46
2280,1107.46
2281,1107.46
2282,1107.46
2283,1107.46
2284,1107.46
2285,1107.46
2286,1107.46
2287,1107.46
2288,1107.46
2289,1107.46
2290,1107.46
2291,1107.46
2292,1107.46
2293,1107.46
2294,1107.46
2295,1107.46
2296,1107.46
2297,1107.46
2298,1107.46
2299,1107.46
2300,1107.46
2301,1107.46
2302,1107.46
2303,1107.46
2304,1107.46
2305,1107.46
2306,1107.46
2307,1107.46
2308,1107.46
2309,1107.46
2310,1107.46
2311,1107.46
2312,1107.46
2313,1107.46
2314,1107.46
2315,1107.46
2316,1107.46
2317,1107.46
2318,1107.46
2319,1107.46
2320,1107.46
2321,1107.46
2322,1107.46
2323,1107.46
2324,1107.46
2325,1107.46
2326,1107.46
2327,1107.46
2328,1107.46
2329,1107.46
2330,1107.46
2331,1107.46
2332,1107.46
2333,1107.46
2334,1107.46
2335,1107.46
2336,1107.46
2337,1107.46
2338,1107.46
2339,1107.46
2340,1107.46
2341,1107.46
2342,1107.46
2343,1107.46
2344,1107.46
2345,1107.46
2346,1107.46
2347,1107.46
2348,1107.46
2349,1107.46
2350,1107.46
2351,1107.46
2352,1107.46
2353,1107.46
2354,1107.46
2355,1107.46
2356,1107.46
2357,1107.46
2358,1107.46
2359,1107.46
2360,1107.46
2361,1107.46
2362,1107.46
2363,1107.46
2364,1107.46
2365,1107.46
2366,1107.46
2367,1107.46
2368,1107.46
2369,1107.46
2370,1107.46
2371,1107.46
2372,1107.46
2373,1107.46
2374,1107.46
2375,1107.46
2376,1107.46
2377,1107.46
2378,1107.46
2379,1107.46
2380,1107.46
2381,1107.46
2382,1107.46
2383,1107.46
2384,1107.46
2385,1107.46
2386,1107.46
2387,1107.46
2388,1107.46
2389,1107.46
2390,1107.46
2391,1107.46
2392,1107.46
2393,1107.46
2394,1107.46
2395,1107.46
2396,1107.46
2397,1107.46
2398,1107.46
2399,1107.46
2400,1107.46
2401,1107.46
2402,1107.46
2403,1107.46
2404,1107.46
2405,1107.46
2406,1107.46
2407,1107.46
2408,1107.46
2409,1107.46
2410,1107.46
2411,1107.46
2412,1107.46
2413,1107.46
2414,1107.46
2415,1107.46
2416,1107.46
2417,1107.46
2418,1107.46
2419,1107.46
2420,1107.46
2421,1107.46
2422,1107.46
2423,1107.46
2424,1107.46
2425,1107.46
2426,1107.46
2427,1107.46
2428,1107.46
2429,1107.46
2430,1107.46
2431,1107.46
2432,1107.46
2433,1107.46
2434,1107.46
2435,1107.46
2436,1107.46
2437,1107.46
2438,1107.46
2439,1107.46
2440,1107.46
2441,1107.46
2442,1107.46
2443,1107.46
2444,1107.46
2445,1107.46
2446,1107.46
2447,1107.46
2448,1107.46
2449,1107.46
2450,1107.46
2451,1107.46
2452,1107.46
2453,1107.46
2454,1107.46
2455,1107.46
2456,1107.46
2457,1107.46
2458,1107.46
2459,1107.46
2460,1107.46
2461,1107.46
2462,1107.46
2463,1107.46
2464,1107.46
2465,1107.46
2466,1107.46
2467,1107.46
2468,1107.46
2469,1107.46
2470,1107.46
2471,1107.46
2472,1107.46
2473,1107.46
2474,1107.46
2475,1107.46
2476,1107.46
2477,1107.46
2478,1107.46
2479,1107.46
2480,1107.46
2481,1107.46
2482,1107.46
2483,1107.46
2484,1107.46
2485,1107.46
2486,1107.46
2487,1107.46
2488,1107.46
2489,1107.46
2490,1107.46
2491,1107.46
2492,1107.46
2493,1107.46
2494,1107.46
2495,1107.46
