source_file,page_num,flags,accepted,reason,original_score,best_score,original_avg_confidence,chosen_avg_confidence,original_char_count,chosen_char_count,candidate_count,elapsed_s
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",324,平均置信度偏低,True,quality_improved,97.0224,107.6448,0.4275,0.397,1032,1780,4,20.347
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",325,平均置信度偏低,True,quality_improved,74.7948,87.4629,0.4416,0.4123,385,884,4,14.444
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",327,平均置信度偏低,True,quality_improved,75.5594,87.7533,0.4271,0.4568,544,891,4,11.387
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",328,平均置信度偏低,True,quality_improved,75.9008,112.7838,0.4272,0.4583,528,12003,4,16.967
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",331,平均置信度偏低,True,quality_improved,46.9527,76.6861,0.4306,0.4494,78,600,4,10.237
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",332,平均置信度偏低,True,quality_improved,44.8757,100.3873,0.3538,0.4076,139,1276,4,14.269
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",334,平均置信度偏低,True,quality_improved,68.9731,108.0001,0.3889,0.4525,434,1465,4,13.857
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",335,平均置信度偏低,False,quality_not_improved_enough,108.6618,109.8326,0.4063,0.4063,1988,1988,4,12.877
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",336,平均置信度偏低,True,quality_improved,69.1236,80.1104,0.4074,0.45,263,690,4,9.164
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",338,平均置信度偏低,True,quality_improved,65.7686,107.4035,0.3257,0.4461,512,17967,4,14.358
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",343,平均置信度偏低,False,candidate_lost_too_much_text,111.6343,105.9679,0.4478,0.4478,9155,9155,4,16.047
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",344,平均置信度偏低,True,quality_improved,51.5388,106.4883,0.377,0.4304,102,1577,4,17.932
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",346,平均置信度偏低,True,quality_improved,73.9477,97.987,0.4043,0.345,537,32517,4,12.802
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",348,平均置信度偏低,True,quality_improved,58.8976,100.163,0.3333,0.3349,316,5277,4,12.48
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",354,平均置信度偏低,True,quality_improved,55.9302,102.6284,0.3666,0.3748,236,4518,4,12.171
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",360,平均置信度偏低,True,quality_improved,72.4728,87.8927,0.3801,0.4449,519,871,4,9.921
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",372,平均置信度偏低,True,quality_improved,78.2156,95.428,0.4441,0.4616,405,867,4,13.999
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",380,平均置信度偏低,True,quality_improved,65.3429,95.4928,0.434,0.4097,215,1143,4,14.517
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",384,平均置信度偏低,True,quality_improved,75.9651,118.2293,0.4403,0.5591,443,17131,4,9.711
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",394,平均置信度偏低,True,quality_improved,61.6684,108.3347,0.3902,0.4615,168,8349,4,16.093
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",398,平均置信度偏低,True,quality_improved,59.0091,99.9713,0.3899,0.3781,157,12617,4,13.2
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",400,平均置信度偏低,True,quality_improved,71.7054,123.5955,0.4344,0.5659,331,13947,4,14.454
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",404,平均置信度偏低,True,quality_improved,79.2477,129.9299,0.4478,0.6278,422,8242,4,14.429
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",406,平均置信度偏低,True,quality_improved,60.0839,90.0183,0.3764,0.3598,310,1057,4,14.6
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",418,平均置信度偏低,False,candidate_lost_too_much_text,100.7006,117.6671,0.3507,0.3507,3936,3936,4,17.596
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",419,平均置信度偏低,True,quality_improved,107.4927,118.3008,0.404,0.5223,1393,1455,4,16.026
