row_index,WTUR.CTim.Wt.F32.WindLow
1092,5154.53
1093,5154.53
1094,5154.53
1095,5154.53
1096,5154.53
1097,5154.53
1098,5154.53
1099,5154.53
1100,5154.53
1101,5154.53
1102,5154.53
1103,5154.53
1104,5154.53
1105,5154.53
1106,5154.53
1107,5154.53
1108,5154.53
1109,5154.53
1110,5154.53
1111,5154.53
1112,5154.53
1113,5154.53
1114,5154.53
1115,5154.53
1116,5154.53
1117,5154.53
1118,5154.53
1119,5154.53
1120,5154.53
1121,5154.53
1122,5154.53
1123,5154.53
1124,5154.53
1125,5154.53
1126,5154.53
1127,5154.53
1128,5154.53
1129,5154.53
1130,5154.53
1131,5154.53
1132,5154.53
1133,5154.53
1134,5154.53
1135,5154.53
1136,5154.53
1137,5154.53
1138,5154.53
1139,5154.53
1140,5154.53
1141,5154.53
1142,5154.53
1143,5154.53
1144,5154.53
1145,5154.53
1146,5154.53
1147,5154.53
1148,5154.53
1149,5154.53
1150,5154.53
1151,5154.53
1152,5154.53
1153,5154.53
1154,5154.53
1155,5154.53
1156,5154.53
1157,5154.53
1158,5154.53
1159,5154.53
1160,5154.53
1161,5154.53
1162,5154.53
1163,5154.53
1164,5154.53
1165,5154.53
1166,5154.53
1167,5154.53
1168,5154.53
1169,5154.53
1170,5154.53
1171,5154.53
1172,5154.53
1173,5154.53
1174,5154.53
1175,5154.53
1176,5154.53
1177,5154.53
1178,5154.53
1179,5154.53
1180,5154.53
1181,5154.53
1182,5154.53
1183,5154.53
1184,5154.53
1185,5154.53
1186,5154.53
1187,5154.53
1188,5154.53
1189,5154.53
1190,5154.53
1191,5154.53
1192,5154.53
1193,5154.53
1194,5154.53
1195,5154.53
1196,5154.53
1197,5154.53
1198,5154.53
1199,5154.53
1200,5154.53
1201,5154.53
1202,5154.53
1203,5154.53
1204,5154.53
1205,5154.53
1206,5154.53
1207,5154.53
1208,5154.53
1209,5154.53
1210,5154.53
1211,5154.53
1212,5154.53
1213,5154.53
1214,5154.53
1215,5154.53
1216,5154.53
1217,5154.53
1218,5154.53
1219,5154.53
1220,5154.53
1221,5154.53
1222,5154.53
1223,5154.53
1224,5154.53
1225,5154.53
1226,5154.53
1227,5154.53
1228,5154.53
1229,5154.53
1230,5154.53
1231,5154.53
1232,5154.53
1233,5154.53
1234,5154.53
1235,5154.53
1236,5154.53
1237,5154.53
1238,5154.53
1239,5154.53
1240,5154.53
1241,5154.53
1242,5154.53
1243,5154.53
1244,5154.53
1245,5154.53
1246,5154.53
1247,5154.53
1248,5154.53
1249,5154.53
1250,5154.53
1251,5154.53
1252,5154.53
1253,5154.53
1254,5154.53
1255,5154.53
1256,5154.53
1257,5154.53
1258,5154.53
1259,5154.53
1260,5154.53
1261,5154.53
1262,5154.53
1263,5154.53
1264,5154.53
1265,5154.53
1266,5154.53
1267,5154.53
1268,5154.53
1269,5154.53
1270,5154.53
