row_index,WTUR.environment_notok
1040,5359.53
1041,5359.53
1042,5359.53
1043,5359.53
1044,5359.53
1045,5359.53
1046,5359.53
1047,5359.53
1048,5359.53
1049,5359.53
1050,5359.53
1051,5359.53
1052,5359.53
1053,5359.53
1054,5359.53
1055,5359.53
1056,5359.53
1057,5359.53
1058,5359.53
1059,5359.53
1060,5359.53
1061,5359.53
1062,5359.53
1063,5359.53
1064,5359.53
1065,5359.53
1066,5359.53
1067,5359.53
1068,5359.53
1069,5359.53
1070,5359.53
1071,5359.53
1072,5359.53
1073,5359.53
1074,5359.53
1075,5359.53
1076,5359.53
1077,5359.53
1078,5359.53
1079,5359.53
1080,5359.53
1081,5359.53
1082,5359.53
1083,5359.53
1084,5359.53
1085,5359.53
1086,5359.53
1087,5359.53
1088,5359.53
1089,5359.53
1090,5359.53
1091,5359.53
1092,5359.53
1093,5359.53
1094,5359.53
1095,5359.53
1096,5359.53
1097,5359.53
1098,5359.53
1099,5359.53
1100,5359.53
1101,5359.53
1102,5359.53
1103,5359.53
1104,5359.53
1105,5359.53
1106,5359.53
1107,5359.53
1108,5359.53
1109,5359.53
1110,5359.53
1111,5359.53
1112,5359.53
1113,5359.53
1114,5359.53
1115,5359.53
1116,5359.53
1117,5359.53
1118,5359.53
1119,5359.53
1120,5359.53
1121,5359.53
1122,5359.53
1123,5359.53
1124,5359.53
1125,5359.53
1126,5359.53
1127,5359.53
1128,5359.53
1129,5359.53
1130,5359.53
1131,5359.53
1132,5359.53
1133,5359.53
1134,5359.53
1135,5359.53
1136,5359.53
1137,5359.53
1138,5359.53
1139,5359.53
1140,5359.53
1141,5359.53
1142,5359.53
1143,5359.53
1144,5359.53
1145,5359.53
1146,5359.53
1147,5359.53
1148,5359.53
1149,5359.53
1150,5359.53
1151,5359.53
1152,5359.53
1153,5359.53
1154,5359.53
1155,5359.53
1156,5359.53
1157,5359.53
1158,5359.53
1159,5359.53
1160,5359.53
1161,5359.53
1162,5359.53
1163,5359.53
1164,5359.53
1165,5359.53
1166,5359.53
1167,5359.53
1168,5359.53
1169,5359.53
1170,5359.53
1171,5359.53
1172,5359.53
1173,5359.53
1174,5359.53
1175,5359.53
1176,5359.53
1177,5359.53
1178,5359.53
1179,5359.53
1180,5359.53
1181,5359.53
1182,5359.53
1183,5359.53
1184,5359.53
1185,5359.53
1186,5359.53
1187,5359.53
1188,5359.53
1189,5359.53
1190,5359.53
1191,5359.53
1192,5359.53
1193,5359.53
1194,5359.53
1195,5359.53
1196,5359.53
1197,5359.53
1198,5359.53
1199,5359.53
1200,5359.53
1201,5359.53
1202,5359.53
1203,5359.53
1204,5359.53
1205,5359.53
1206,5359.53
1207,5359.53
1208,5359.53
1209,5359.53
1210,5359.53
1211,5359.53
1212,5359.53
1213,5359.53
1214,5359.53
1215,5359.53
1216,5359.53
1217,5359.53
1218,5359.53
1219,5359.53
1220,5359.53
1221,5359.53
1222,5359.53
1223,5359.53
1224,5359.53
1225,5359.53
1226,5359.53
1227,5359.53
1228,5359.53
1229,5359.53
1230,5359.53
1231,5359.53
1232,5359.53
1233,5359.53
1234,5359.53
1235,5359.53
1236,5359.53
1237,5359.53
1238,5359.53
1239,5359.53
1240,5359.53
1241,5359.53
1242,5359.53
1243,5359.53
1244,5359.53
1245,5359.53
1246,5359.53
1247,5359.53
1248,5359.53
1249,5359.53
1250,5359.53
1251,5359.53
1252,5359.53
1253,5359.53
1254,5359.53
1255,5359.53
1256,5359.53
1257,5359.53
1258,5359.53
1259,5359.53
1260,5359.53
1261,5359.53
1262,5359.53
1263,5359.53
1264,5359.53
1265,5359.53
1266,5359.53
1267,5359.53
1268,5359.53
1269,5359.53
1270,5359.53
1271,5359.53
1272,5359.53
1273,5359.53
1274,5359.53
1275,5359.53
1276,5359.53
1277,5359.53
1278,5359.53
1279,5359.53
1280,5359.53
1281,5359.53
1282,5359.53
1283,5359.53
1284,5359.53
1285,5359.53
1286,5359.53
1287,5359.53
1288,5359.53
1289,5359.53
1290,5359.53
1291,5359.53
1292,5359.53
1293,5359.53
1294,5359.53
1295,5359.53
1296,5359.53
1297,5359.53
1298,5359.53
1299,5359.53
1300,5359.53
1301,5359.53
1302,5359.53
