row_index,WTUR.CTim.Wt.F32.WindElec
1323,27242.01
1324,27242.01
1325,27242.01
1326,27242.01
1327,27242.01
1328,27242.02
1329,27242.02
1330,27242.02
1331,27242.02
1332,27242.02
1333,27242.03
1334,27242.03
1335,27242.03
1336,27242.03
1337,27242.03
1338,27242.04
1339,27242.04
1340,27242.04
1341,27242.04
1342,27242.04
1343,27242.05
1344,27242.05
1345,27242.05
1346,27242.05
1347,27242.05
1348,27242.05
1349,27242.06
1350,27242.06
1351,27242.06
1352,27242.06
1353,27242.07
1354,27242.07
1355,27242.07
1356,27242.07
1357,27242.07
1358,27242.08
1359,27242.08
1360,27242.08
1361,27242.08
1362,27242.08
1363,27242.09
1364,27242.09
1365,27242.09
1366,27242.09
1367,27242.09
1368,27242.1
1369,27242.1
1370,27242.1
1371,27242.1
1372,27242.1
1373,27242.11
1374,27242.11
1375,27242.11
1376,27242.11
1377,27242.11
1378,27242.12
1379,27242.12
1380,27242.12
1381,27242.12
1382,27242.12
1383,27242.13
1384,27242.13
1385,27242.13
1386,27242.13
1387,27242.13
1388,27242.14
1389,27242.14
1390,27242.14
1391,27242.14
1392,27242.14
1393,27242.15
1394,27242.15
1395,27242.15
1396,27242.15
1397,27242.15
1398,27242.16
1399,27242.16
1400,27242.16
1401,27242.16
1402,27242.16
1403,27242.17
1404,27242.17
1405,27242.17
1406,27242.17
1407,27242.17
1408,27242.18
1409,27242.18
1410,27242.18
1411,27242.18
1412,27242.18
1413,27242.19
1414,27242.19
1415,27242.19
1416,27242.19
1417,27242.19
1418,27242.2
1419,27242.2
1420,27242.2
1421,27242.2
1422,27242.2
1423,27242.21
1424,27242.21
1425,27242.21
1426,27242.21
1427,27242.21
1428,27242.22
1429,27242.22
1430,27242.22
1431,27242.22
1432,27242.22
1433,27242.22
1434,27242.23
1435,27242.23
1436,27242.23
1437,27242.23
1438,27242.23
1439,27242.24
1440,27242.24
1441,27242.24
1442,27242.24
1443,27242.24
1444,27242.25
1445,27242.25
1446,27242.25
1447,27242.25
1448,27242.25
1449,27242.26
1450,27242.26
1451,27242.26
1452,27242.26
1453,27242.26
1454,27242.27
1455,27242.27
1456,27242.27
1457,27242.27
1458,27242.27
1459,27242.28
1460,27242.28
1461,27242.28
1462,27242.28
1463,27242.28
1464,27242.29
1465,27242.29
1466,27242.29
1467,27242.29
1468,27242.29
1469,27242.3
1470,27242.3
1471,27242.3
1472,27242.3
1473,27242.3
1474,27242.31
1475,27242.31
1476,27242.31
1477,27242.31
1478,27242.32
1479,27242.32
1480,27242.32
1481,27242.32
1482,27242.32
1483,27242.33
1484,27242.33
1485,27242.33
1486,27242.33
1487,27242.33
1488,27242.34
1489,27242.34
1490,27242.34
1491,27242.34
1492,27242.34
1493,27242.35
1494,27242.35
1495,27242.35
1496,27242.35
1497,27242.35
1498,27242.36
1499,27242.36
1500,27242.36
1501,27242.36
1502,27242.36
1503,27242.37
1504,27242.37
1505,27242.37
1506,27242.37
1507,27242.37
1508,27242.38
1509,27242.38
1510,27242.38
1511,27242.38
1512,27242.38
1513,27242.38
1514,27242.39
1515,27242.39
1516,27242.39
1517,27242.39
1518,27242.39
1519,27242.4
1520,27242.4
1521,27242.4
1522,27242.4
1523,27242.4
1524,27242.41
1525,27242.41
1526,27242.41
1527,27242.41
1528,27242.41
1529,27242.42
1530,27242.42
1531,27242.42
1532,27242.42
1533,27242.42
1534,27242.43
1535,27242.43
1536,27242.43
1537,27242.43
1538,27242.43
1539,27242.44
1540,27242.44
1541,27242.44
1542,27242.44
1543,27242.44
1544,27242.45
1545,27242.45
1546,27242.45
1547,27242.45
1548,27242.45
1549,27242.46
1550,27242.46
