row_index,WGEN.Conver_DC_Volt_negative
905,-553.72
906,-553.04
907,-552.36
908,-553.04
909,-553.38
910,-553.04
911,-553.38
912,-552.36
913,-553.04
914,-553.04
915,-553.38
916,-553.04
917,-552.36
918,-553.72
919,-553.72
920,-553.38
921,-553.04
922,-553.72
923,-553.38
924,-553.38
925,-552.36
926,-552.36
927,-553.04
928,-553.38
929,-552.36
930,-553.04
931,-553.04
932,-553.38
933,-553.04
934,-552.36
935,-553.38
936,-552.01
937,-553.38
938,-552.36
939,-552.36
940,-552.01
941,-553.04
942,-552.36
943,-553.04
944,-553.04
945,-553.04
946,-553.38
947,-553.38
948,-553.72
949,-553.72
950,-553.04
951,-553.04
952,-552.36
953,-552.36
954,-553.04
955,-553.04
956,-552.36
957,-553.04
958,-553.04
959,-552.36
960,-552.01
961,-552.01
962,-552.01
963,-552.01
964,-552.36
965,-553.04
966,-552.36
967,-551.67
968,-552.36
969,-552.36
970,-552.01
971,-552.01
972,-551.67
973,-552.01
974,-551.67
975,-553.04
976,-552.36
977,-552.36
978,-552.01
979,-552.36
980,-552.36
981,-552.36
982,-553.04
983,-552.01
984,-552.01
985,-551.67
986,-552.36
987,-551.67
988,-551.67
989,-552.01
990,-551.67
991,-552.36
992,-552.36
993,-552.36
994,-551.67
995,-552.01
996,-551.67
997,-551.67
998,-551.67
999,-551.33
1000,-551.33
1001,-552.01
1002,-551.67
1003,-551.67
1004,-553.04
1005,-552.36
1006,-553.38
1007,-553.04
1008,-553.38
1009,-552.36
1010,-552.01
1011,-552.01
1012,-552.36
1013,-553.04
1014,-553.04
1015,-552.36
1016,-553.04
1017,-553.04
1018,-552.36
1019,-553.04
1020,-553.38
1021,-553.04
1022,-553.04
1023,-553.04
1024,-553.04
1025,-553.04
1026,-553.04
1027,-553.04
1028,-553.72
1029,-553.38
1030,-553.04
1031,-553.72
1032,-553.72
1033,-553.72
1034,-554.06
1035,-553.38
1036,-553.72
1037,-553.38
1038,-553.04
1039,-553.04
1040,-554.06
1041,-553.38
1042,-553.38
1043,-553.72
1044,-553.72
1045,-552.36
1046,-553.38
1047,-553.04
1048,-553.38
1049,-553.38
1050,-553.04
1051,-553.04
1052,-553.04
1053,-553.38
1054,-552.36
1055,-553.04
1056,-553.04
1057,-553.04
1058,-553.04
1059,-553.72
1060,-553.72
1061,-553.38
1062,-553.04
1063,-553.04
1064,-553.04
1065,-551.67
1066,-552.36
1067,-552.01
1068,-551.67
1069,-552.01
1070,-552.01
1071,-552.01
1072,-552.36
1073,-551.67
1074,-552.01
1075,-552.01
1076,-551.33
1077,-553.04
1078,-552.01
1079,-552.36
1080,-552.01
1081,-553.04
1082,-552.36
1083,-552.36
1084,-552.36
1085,-551.67
1086,-552.01
1087,-552.01
1088,-552.36
1089,-552.36
1090,-553.04
1091,-553.04
1092,-552.36
1093,-553.04
1094,-551.67
1095,-552.36
1096,-553.04
1097,-552.36
1098,-553.38
1099,-552.01
1100,-553.04
1101,-553.04
1102,-553.04
1103,-553.04
1104,-553.72
1105,-553.38
1106,-553.38
1107,-553.04
1108,-553.38
1109,-553.72
1110,-553.72
1111,-553.04
1112,-552.36
1113,-553.38
1114,-552.36
1115,-553.38
1116,-553.38
1117,-553.04
1118,-553.72
1119,-552.36
1120,-552.01
1121,-553.04
1122,-553.04
1123,-552.36
1124,-553.38
1125,-552.36
1126,-553.04
1127,-552.36
1128,-553.38
1129,-553.04
1130,-553.04
1131,-552.01
1132,-552.36
1133,-553.04
1134,-552.01
1135,-552.01
1136,-551.67
1137,-552.01
1138,-552.01
1139,-553.04
1140,-552.36
1141,-552.36
1142,-552.01
1143,-552.36
1144,-552.01
1145,-552.01
1146,-551.33
1147,-552.01
1148,-552.36
1149,-551.67
1150,-552.36
1151,-551.67
1152,-552.01
1153,-552.36
1154,-552.36
1155,-553.04
