row_index,WNAC.AccY
408,-0.01
409,-0.01
410,0.0
411,-0.01
412,-0.01
413,0.0
414,0.0
415,0.0
416,-0.01
417,0.0
418,-0.01
419,0.0
420,0.0
421,-0.01
422,-0.01
423,-0.01
424,-0.01
425,0.0
426,-0.01
427,0.0
428,0.0
429,-0.01
430,-0.01
431,-0.01
432,-0.01
433,0.0
434,0.0
435,-0.01
436,0.0
437,-0.01
438,-0.01
439,-0.01
440,0.0
441,0.0
442,-0.01
443,0.0
444,0.0
445,0.0
446,-0.01
447,-0.01
448,-0.01
449,0.0
450,-0.01
451,-0.01
452,-0.01
453,0.0
454,-0.01
455,-0.01
456,-0.01
457,-0.01
458,-0.01
459,-0.01
460,-0.01
461,-0.01
462,-0.01
463,-0.01
464,-0.01
465,-0.01
466,-0.01
467,-0.01
468,0.0
469,0.0
470,-0.01
471,-0.01
472,-0.01
473,-0.01
474,0.0
475,-0.01
476,-0.01
477,-0.01
478,0.0
479,-0.01
480,0.0
481,0.0
482,-0.01
483,-0.01
484,0.0
485,-0.01
486,0.0
487,0.0
488,-0.01
489,-0.01
490,-0.01
491,-0.01
492,0.0
493,0.0
494,-0.01
495,-0.01
496,-0.01
497,-0.01
498,0.0
499,0.0
500,0.0
501,-0.01
502,-0.01
503,0.0
504,-0.01
505,-0.01
506,-0.01
507,-0.01
508,-0.01
509,0.0
510,-0.01
511,-0.01
512,0.0
513,-0.01
514,0.0
515,0.0
516,0.0
517,0.0
518,-0.01
519,-0.01
520,0.0
521,0.0
522,-0.01
523,0.0
524,-0.01
525,-0.01
526,0.0
527,-0.01
528,-0.01
529,0.0
530,-0.01
531,-0.01
532,0.0
533,0.0
534,-0.01
535,0.0
536,-0.01
537,-0.01
538,-0.01
539,-0.01
540,0.0
541,-0.01
542,0.0
543,0.0
544,0.0
545,-0.01
546,-0.01
547,0.0
548,-0.01
549,-0.01
550,-0.01
551,-0.01
552,0.0
553,-0.01
554,-0.01
555,0.0
556,0.0
557,-0.01
558,0.0
559,-0.01
560,-0.01
561,-0.01
562,-0.01
563,-0.01
564,0.0
565,0.0
566,-0.01
567,0.0
568,-0.01
569,-0.01
570,0.0
571,-0.01
572,0.0
573,-0.01
574,-0.01
575,-0.01
576,0.0
577,-0.01
578,0.0
579,0.0
580,-0.01
581,0.0
582,-0.01
583,-0.01
584,0.0
585,-0.01
586,-0.01
587,-0.01
588,-0.01
589,-0.01
590,0.0
591,0.0
592,0.0
593,-0.01
594,0.0
595,0.0
596,0.0
597,-0.01
598,-0.01
599,-0.01
600,-0.01
601,-0.01
602,-0.01
603,-0.01
604,-0.01
605,-0.01
606,-0.01
607,0.0
608,0.0
609,0.0
610,0.0
611,-0.01
612,-0.01
613,0.0
614,-0.01
615,0.0
616,0.0
617,-0.01
618,-0.01
619,-0.01
620,-0.01
621,-0.01
622,0.0
623,-0.01
624,-0.01
625,0.0
626,-0.01
627,0.0
628,-0.01
629,-0.01
630,0.0
631,-0.01
632,-0.01
633,0.0
634,-0.01
635,-0.01
636,0.0
637,-0.01
638,-0.01
639,0.0
640,0.0
641,-0.01
642,0.0
643,0.0
644,-0.01
645,0.0
646,-0.01
647,-0.01
648,-0.01
649,0.0
650,0.0
651,-0.01
652,0.0
653,0.0
654,-0.01
655,-0.01
656,-0.01
657,0.0
658,0.0
659,0.0
660,0.0
661,-0.01
662,-0.01
663,-0.01
664,0.0
665,-0.01
666,0.0
667,-0.01
668,-0.01
669,-0.01
670,-0.01
671,-0.01
672,0.0
673,0.0
674,0.0
675,0.0
676,-0.01
677,-0.01
678,-0.01
679,-0.01
680,-0.01
681,0.0
682,-0.01
683,-0.01
684,0.0
685,-0.01
686,0.0
687,0.0
688,-0.01
689,0.0
690,0.0
691,-0.01
692,0.0
693,-0.01
694,-0.01
695,0.0
696,-0.01
697,-0.01
698,-0.01
699,-0.01
700,0.0
701,0.0
702,0.0
703,-0.01
704,-0.01
705,-0.01
706,0.0
707,0.0
708,-0.01
709,0.0
710,-0.01
711,-0.01
712,0.0
713,0.0
714,-0.01
715,0.0
716,-0.01
717,-0.01
718,0.0
719,-0.01
720,0.0
721,0.0
722,-0.01
723,-0.01
724,0.0
725,-0.01
726,-0.01
727,-0.01
728,-0.01
729,0.0
730,0.0
731,0.0
732,-0.01
733,-0.01
734,-0.01
735,-0.01
736,-0.01
737,-0.01
738,-0.01
739,0.0
740,-0.01
741,-0.01
742,0.0
743,-0.01
744,-0.01
745,0.0
746,0.0
747,-0.01
748,0.0
749,0.0
750,-0.01
751,0.0
752,-0.01
753,0.0
754,0.0
755,-0.01
756,0.0
757,0.0
758,-0.01
759,-0.01
760,0.0
761,-0.01
762,0.0
763,0.0
764,-0.01
765,-0.01
766,-0.01
767,-0.01
768,0.0
769,0.0
770,0.0
771,0.0
