row_index,WGEN.TotTm.actTmVal_h
661,41598.44
662,41598.44
663,41598.44
664,41598.44
665,41598.44
666,41598.45
667,41598.45
668,41598.45
669,41598.45
670,41598.46
671,41598.46
672,41598.46
673,41598.46
674,41598.46
675,41598.46
676,41598.47
677,41598.47
678,41598.47
679,41598.47
680,41598.48
681,41598.48
682,41598.48
683,41598.48
684,41598.48
685,41598.48
686,41598.49
687,41598.49
688,41598.49
689,41598.5
690,41598.5
691,41598.5
692,41598.5
693,41598.5
694,41598.5
695,41598.51
696,41598.51
697,41598.51
698,41598.51
699,41598.51
700,41598.51
701,41598.52
702,41598.52
703,41598.52
704,41598.52
705,41598.53
706,41598.53
707,41598.53
708,41598.53
709,41598.53
710,41598.53
711,41598.54
712,41598.54
713,41598.54
714,41598.54
715,41598.55
716,41598.55
717,41598.55
718,41598.55
719,41598.55
720,41598.55
721,41598.56
722,41598.56
723,41598.56
724,41598.56
725,41598.57
726,41598.57
727,41598.57
728,41598.57
729,41598.57
730,41598.58
731,41598.58
732,41598.58
733,41598.58
734,41598.58
735,41598.58
736,41598.59
737,41598.59
738,41598.59
739,41598.59
740,41598.6
741,41598.6
742,41598.6
743,41598.6
744,41598.6
745,41598.6
746,41598.61
747,41598.61
748,41598.61
749,41598.61
750,41598.62
751,41598.62
752,41598.62
753,41598.62
754,41598.62
755,41598.62
756,41598.63
757,41598.63
758,41598.63
759,41598.63
760,41598.63
761,41598.64
762,41598.64
763,41598.64
764,41598.64
765,41598.64
766,41598.65
767,41598.65
768,41598.65
769,41598.65
770,41598.66
771,41598.66
772,41598.66
773,41598.66
774,41598.66
775,41598.66
776,41598.67
777,41598.67
778,41598.67
779,41598.67
780,41598.67
781,41598.67
782,41598.68
783,41598.68
784,41598.68
785,41598.68
786,41598.69
787,41598.69
788,41598.69
789,41598.69
790,41598.69
791,41598.69
792,41598.7
793,41598.7
794,41598.7
795,41598.7
796,41598.71
797,41598.71
798,41598.71
799,41598.71
800,41598.71
801,41598.72
802,41598.72
803,41598.72
804,41598.72
805,41598.73
806,41598.73
807,41598.73
808,41598.73
809,41598.73
810,41598.73
811,41598.74
812,41598.74
813,41598.74
814,41598.74
815,41598.75
816,41598.75
817,41598.75
818,41598.75
819,41598.75
820,41598.75
821,41598.76
822,41598.76
823,41598.76
824,41598.76
825,41598.76
826,41598.76
827,41598.77
828,41598.77
829,41598.77
830,41598.77
831,41598.78
832,41598.78
833,41598.78
834,41598.78
835,41598.78
836,41598.79
837,41598.79
838,41598.79
839,41598.79
840,41598.79
841,41598.8
842,41598.8
843,41598.8
844,41598.8
845,41598.8
846,41598.8
847,41598.81
848,41598.81
849,41598.81
850,41598.81
851,41598.82
852,41598.82
853,41598.82
854,41598.82
855,41598.82
856,41598.82
857,41598.83
858,41598.83
859,41598.83
860,41598.83
861,41598.83
862,41598.83
863,41598.84
864,41598.84
865,41598.84
866,41598.84
867,41598.85
868,41598.85
869,41598.85
870,41598.85
871,41598.85
872,41598.86
873,41598.86
874,41598.86
875,41598.86
876,41598.87
877,41598.87
878,41598.87
879,41598.87
880,41598.87
881,41598.87
882,41598.88
883,41598.88
884,41598.88
885,41598.88
886,41598.89
887,41598.89
888,41598.89
889,41598.89
890,41598.89
891,41598.89
892,41598.9
893,41598.9
894,41598.9
895,41598.9
896,41598.91
897,41598.91
898,41598.91
899,41598.91
900,41598.91
901,41598.91
902,41598.92
903,41598.92
904,41598.92
905,41598.92
906,41598.92
907,41598.93
908,41598.93
909,41598.93
910,41598.93
911,41598.94
912,41598.94
913,41598.94
914,41598.94
915,41598.94
916,41598.94
917,41598.95
918,41598.95
919,41598.95
920,41598.95
921,41598.96
922,41598.96
923,41598.96
924,41598.96
925,41598.96
926,41598.96
927,41598.97
928,41598.97
929,41598.97
930,41598.97
931,41598.98
932,41598.98
933,41598.98
934,41598.98
935,41598.98
936,41598.98
937,41598.99
938,41598.99
939,41598.99
940,41598.99
941,41599.0
942,41599.0
943,41599.0
944,41599.0
945,41599.0
946,41599.0
947,41599.01
948,41599.01
949,41599.01
950,41599.01
951,41599.01
952,41599.01
953,41599.02
954,41599.02
955,41599.02
956,41599.02
957,41599.03
958,41599.03
959,41599.03
960,41599.03
961,41599.03
962,41599.04
963,41599.04
964,41599.04
965,41599.04
966,41599.05
967,41599.05
968,41599.05
969,41599.05
970,41599.05
971,41599.05
972,41599.06
973,41599.06
974,41599.06
975,41599.06
976,41599.07
977,41599.07
978,41599.07
979,41599.07
980,41599.07
981,41599.07
982,41599.08
983,41599.08
984,41599.08
985,41599.08
986,41599.08
987,41599.08
988,41599.09
989,41599.09
990,41599.09
991,41599.09
992,41599.1
993,41599.1
994,41599.1
995,41599.1
996,41599.1
997,41599.11
998,41599.11
999,41599.11
1000,41599.11
1001,41599.12
1002,41599.12
1003,41599.12
1004,41599.12
1005,41599.12
1006,41599.12
1007,41599.13
1008,41599.13
1009,41599.13
1010,41599.13
1011,41599.13
1012,41599.14
1013,41599.14
1014,41599.14
1015,41599.14
1016,41599.14
1017,41599.14
1018,41599.15
1019,41599.15
1020,41599.15
1021,41599.15
1022,41599.16
1023,41599.16
1024,41599.16
1025,41599.16
1026,41599.16
1027,41599.16
1028,41599.17
1029,41599.17
1030,41599.17
1031,41599.17
1032,41599.17
1033,41599.18
1034,41599.18
1035,41599.18
1036,41599.18
1037,41599.19
1038,41599.19
1039,41599.19
1040,41599.19
1041,41599.19
1042,41599.19
1043,41599.2
1044,41599.2
1045,41599.2
1046,41599.2
1047,41599.21
1048,41599.21
1049,41599.21
1050,41599.21
1051,41599.21
1052,41599.21
1053,41599.22
1054,41599.22
1055,41599.22
1056,41599.22
1057,41599.23
1058,41599.23
1059,41599.23
1060,41599.23
1061,41599.23
1062,41599.23
1063,41599.24
1064,41599.24
1065,41599.24
1066,41599.25
1067,41599.25
1068,41599.25
1069,41599.25
1070,41599.25
1071,41599.25
1072,41599.26
1073,41599.26
1074,41599.26
1075,41599.26
1076,41599.26
1077,41599.26
1078,41599.27
1079,41599.27
1080,41599.27
1081,41599.27
1082,41599.28
1083,41599.28
1084,41599.28
1085,41599.28
1086,41599.28
1087,41599.28
1088,41599.29
1089,41599.29
1090,41599.29
1091,41599.29
1092,41599.3
1093,41599.3
1094,41599.3
1095,41599.3
1096,41599.3
1097,41599.3
1098,41599.3
1099,41599.31
1100,41599.31
1101,41599.31
1102,41599.31
1103,41599.32
1104,41599.32
1105,41599.32
1106,41599.32
1107,41599.32
1108,41599.33
1109,41599.33
1110,41599.33
1111,41599.33
1112,41599.33
1113,41599.33
1114,41599.34
1115,41599.34
1116,41599.34
1117,41599.34
1118,41599.35
1119,41599.35
1120,41599.35
1121,41599.35
1122,41599.35
1123,41599.35
1124,41599.36
1125,41599.36
1126,41599.36
1127,41599.36
1128,41599.37
1129,41599.37
1130,41599.37
1131,41599.37
1132,41599.37
1133,41599.37
1134,41599.38
1135,41599.38
1136,41599.38
1137,41599.38
1138,41599.39
1139,41599.39
1140,41599.39
1141,41599.39
1142,41599.39
1143,41599.4
1144,41599.4
1145,41599.4
1146,41599.4
1147,41599.41
1148,41599.41
1149,41599.41
1150,41599.41
1151,41599.41
1152,41599.41
1153,41599.42
1154,41599.42
1155,41599.42
1156,41599.42
1157,41599.42
1158,41599.42
1159,41599.43
1160,41599.43
1161,41599.43
1162,41599.43
1163,41599.44
1164,41599.44
1165,41599.44
1166,41599.44
1167,41599.44
1168,41599.44
1169,41599.45
1170,41599.45
1171,41599.45
1172,41599.45
1173,41599.46
1174,41599.46
1175,41599.46
1176,41599.46
1177,41599.46
1178,41599.46
1179,41599.47
1180,41599.47
1181,41599.47
1182,41599.47
1183,41599.48
1184,41599.48
1185,41599.48
1186,41599.48
1187,41599.48
1188,41599.48
1189,41599.49
1190,41599.49
1191,41599.49
1192,41599.49
1193,41599.5
1194,41599.5
1195,41599.5
1196,41599.5
1197,41599.5
1198,41599.5
1199,41599.51
1200,41599.51
1201,41599.51
1202,41599.51
1203,41599.51
1204,41599.51
1205,41599.52
1206,41599.52
1207,41599.52
1208,41599.52
1209,41599.53
1210,41599.53
1211,41599.53
1212,41599.53
1213,41599.53
1214,41599.53
1215,41599.54
1216,41599.54
1217,41599.54
1218,41599.55
1219,41599.55
1220,41599.55
1221,41599.55
1222,41599.55
1223,41599.55
1224,41599.56
1225,41599.56
1226,41599.56
1227,41599.56
1228,41599.57
1229,41599.57
1230,41599.57
1231,41599.57
1232,41599.57
1233,41599.57
1234,41599.58
1235,41599.58
1236,41599.58
1237,41599.58
1238,41599.58
1239,41599.58
1240,41599.59
1241,41599.59
1242,41599.59
1243,41599.59
1244,41599.6
1245,41599.6
1246,41599.6
1247,41599.6
1248,41599.6
1249,41599.6
1250,41599.61
1251,41599.61
1252,41599.61
1253,41599.62
1254,41599.62
1255,41599.62
1256,41599.62
1257,41599.62
1258,41599.62
1259,41599.63
1260,41599.63
1261,41599.63
1262,41599.63
1263,41599.63
1264,41599.64
1265,41599.64
1266,41599.64
1267,41599.64
1268,41599.64
1269,41599.64
1270,41599.65
1271,41599.65
1272,41599.65
1273,41599.66
1274,41599.66
1275,41599.66
1276,41599.66
1277,41599.66
1278,41599.66
1279,41599.67
1280,41599.67
1281,41599.67
1282,41599.67
1283,41599.67
1284,41599.67
1285,41599.68
1286,41599.68
1287,41599.68
1288,41599.68
1289,41599.69
1290,41599.69
1291,41599.69
1292,41599.69
1293,41599.69
1294,41599.69
1295,41599.7
1296,41599.7
1297,41599.7
1298,41599.7
1299,41599.71
1300,41599.71
1301,41599.71
1302,41599.71
1303,41599.71
1304,41599.71
1305,41599.72
1306,41599.72
1307,41599.72
1308,41599.73
1309,41599.73
1310,41599.73
1311,41599.73
1312,41599.73
1313,41599.73
1314,41599.74
1315,41599.74
1316,41599.74
1317,41599.74
1318,41599.75
1319,41599.75
1320,41599.75
1321,41599.75
1322,41599.75
