row_index,WMAN.InitFileVersion
305,sinoma42.2_v20150728
306,sinoma42.2_v20150728
307,sinoma42.2_v20150728
308,sinoma42.2_v20150728
309,sinoma42.2_v20150728
310,sinoma42.2_v20150728
311,sinoma42.2_v20150728
312,sinoma42.2_v20150728
313,sinoma42.2_v20150728
314,sinoma42.2_v20150728
315,sinoma42.2_v20150728
316,sinoma42.2_v20150728
317,sinoma42.2_v20150728
318,sinoma42.2_v20150728
319,sinoma42.2_v20150728
320,sinoma42.2_v20150728
321,sinoma42.2_v20150728
322,sinoma42.2_v20150728
323,sinoma42.2_v20150728
324,sinoma42.2_v20150728
325,sinoma42.2_v20150728
326,sinoma42.2_v20150728
327,sinoma42.2_v20150728
328,sinoma42.2_v20150728
329,sinoma42.2_v20150728
330,sinoma42.2_v20150728
331,sinoma42.2_v20150728
332,sinoma42.2_v20150728
333,sinoma42.2_v20150728
334,sinoma42.2_v20150728
335,sinoma42.2_v20150728
336,sinoma42.2_v20150728
337,sinoma42.2_v20150728
338,sinoma42.2_v20150728
339,sinoma42.2_v20150728
340,sinoma42.2_v20150728
341,sinoma42.2_v20150728
342,sinoma42.2_v20150728
343,sinoma42.2_v20150728
344,sinoma42.2_v20150728
345,sinoma42.2_v20150728
346,sinoma42.2_v20150728
347,sinoma42.2_v20150728
348,sinoma42.2_v20150728
349,sinoma42.2_v20150728
350,sinoma42.2_v20150728
351,sinoma42.2_v20150728
352,sinoma42.2_v20150728
353,sinoma42.2_v20150728
354,sinoma42.2_v20150728
355,sinoma42.2_v20150728
356,sinoma42.2_v20150728
357,sinoma42.2_v20150728
358,sinoma42.2_v20150728
359,sinoma42.2_v20150728
360,sinoma42.2_v20150728
361,sinoma42.2_v20150728
362,sinoma42.2_v20150728
363,sinoma42.2_v20150728
364,sinoma42.2_v20150728
365,sinoma42.2_v20150728
366,sinoma42.2_v20150728
367,sinoma42.2_v20150728
368,sinoma42.2_v20150728
369,sinoma42.2_v20150728
370,sinoma42.2_v20150728
371,sinoma42.2_v20150728
372,sinoma42.2_v20150728
373,sinoma42.2_v20150728
374,sinoma42.2_v20150728
375,sinoma42.2_v20150728
376,sinoma42.2_v20150728
377,sinoma42.2_v20150728
378,sinoma42.2_v20150728
379,sinoma42.2_v20150728
380,sinoma42.2_v20150728
381,sinoma42.2_v20150728
382,sinoma42.2_v20150728
383,sinoma42.2_v20150728
384,sinoma42.2_v20150728
385,sinoma42.2_v20150728
386,sinoma42.2_v20150728
387,sinoma42.2_v20150728
388,sinoma42.2_v20150728
389,sinoma42.2_v20150728
390,sinoma42.2_v20150728
391,sinoma42.2_v20150728
392,sinoma42.2_v20150728
393,sinoma42.2_v20150728
394,sinoma42.2_v20150728
395,sinoma42.2_v20150728
396,sinoma42.2_v20150728
397,sinoma42.2_v20150728
398,sinoma42.2_v20150728
399,sinoma42.2_v20150728
400,sinoma42.2_v20150728
401,sinoma42.2_v20150728
402,sinoma42.2_v20150728
403,sinoma42.2_v20150728
404,sinoma42.2_v20150728
405,sinoma42.2_v20150728
406,sinoma42.2_v20150728
407,sinoma42.2_v20150728
408,sinoma42.2_v20150728
409,sinoma42.2_v20150728
410,sinoma42.2_v20150728
411,sinoma42.2_v20150728
412,sinoma42.2_v20150728
413,sinoma42.2_v20150728
414,sinoma42.2_v20150728
415,sinoma42.2_v20150728
416,sinoma42.2_v20150728
417,sinoma42.2_v20150728
418,sinoma42.2_v20150728
419,sinoma42.2_v20150728
420,sinoma42.2_v20150728
421,sinoma42.2_v20150728
422,sinoma42.2_v20150728
423,sinoma42.2_v20150728
424,sinoma42.2_v20150728
425,sinoma42.2_v20150728
426,sinoma42.2_v20150728
427,sinoma42.2_v20150728
428,sinoma42.2_v20150728
429,sinoma42.2_v20150728
430,sinoma42.2_v20150728
431,sinoma42.2_v20150728
432,sinoma42.2_v20150728
433,sinoma42.2_v20150728
