row_index,WGEN.PwrEpd.InstMag.i
1122,28326.0
1123,28326.0
1124,28326.0
1125,28326.0
1126,28326.0
1127,28326.0
1128,28326.0
1129,28326.0
1130,28326.0
1131,28326.0
1132,28326.0
1133,28326.0
1134,28326.0
1135,28326.0
1136,28326.0
1137,28326.0
1138,28326.0
1139,28326.0
1140,28326.0
1141,28326.0
1142,28326.0
1143,28326.0
1144,28326.0
1145,28326.0
1146,28326.0
1147,28326.0
1148,28326.0
1149,28326.0
1150,28326.0
1151,28326.0
1152,28326.0
1153,28326.0
1154,28326.0
1155,28326.0
1156,28326.0
1157,28326.0
1158,28326.0
1159,28326.0
1160,28326.0
1161,28326.0
1162,28326.0
1163,28326.0
1164,28326.0
1165,28326.0
1166,28326.0
1167,28326.0
1168,28326.0
1169,28326.0
1170,28326.0
1171,28326.0
1172,28326.0
1173,28326.0
1174,28326.0
1175,28326.0
1176,28326.0
1177,28326.0
1178,28326.0
1179,28326.0
1180,28326.0
1181,28326.0
1182,28326.0
1183,28326.0
1184,28326.0
1185,28326.0
1186,28326.0
1187,28326.0
1188,28326.0
1189,28326.0
1190,28326.0
1191,28326.0
1192,28326.0
1193,28326.0
1194,28326.0
1195,28326.0
1196,28326.0
1197,28326.0
1198,28326.0
1199,28326.0
1200,28326.0
1201,28326.0
1202,28326.0
1203,28326.0
1204,28326.0
1205,28326.0
1206,28326.0
1207,28326.0
1208,28326.0
1209,28326.0
1210,28326.0
1211,28326.0
1212,28326.0
1213,28326.0
1214,28326.0
1215,28326.0
1216,28326.0
1217,28326.0
1218,28326.0
1219,28326.0
1220,28326.0
1221,28326.0
1222,28326.0
1223,28326.0
1224,28326.0
1225,28326.0
1226,28326.0
1227,28326.0
1228,28326.0
1229,28326.0
1230,28326.0
1231,28326.0
1232,28326.0
1233,28326.0
1234,28326.0
1235,28326.0
1236,28326.0
1237,28326.0
1238,28326.0
1239,28326.0
1240,28326.0
1241,28326.0
1242,28326.0
1243,28326.0
1244,28326.0
1245,28326.0
1246,28326.0
1247,28326.0
1248,28326.0
1249,28326.0
1250,28326.0
1251,28326.0
1252,28326.0
1253,28326.0
1254,28326.0
1255,28326.0
1256,28326.0
1257,28326.0
1258,28326.0
1259,28326.0
1260,28326.0
1261,28326.0
1262,28326.0
1263,28326.0
1264,28326.0
1265,28326.0
