row_index,WTUR.environment_ok_h
1100,44279.76
1101,44279.76
1102,44279.76
1103,44279.77
1104,44279.77
1105,44279.77
1106,44279.77
1107,44279.78
1108,44279.78
1109,44279.78
1110,44279.78
1111,44279.78
1112,44279.78
1113,44279.79
1114,44279.79
1115,44279.79
1116,44279.79
1117,44279.8
1118,44279.8
1119,44279.8
1120,44279.8
1121,44279.8
1122,44279.8
1123,44279.81
1124,44279.81
1125,44279.81
1126,44279.81
1127,44279.82
1128,44279.82
1129,44279.82
1130,44279.82
1131,44279.82
1132,44279.82
1133,44279.83
1134,44279.83
1135,44279.83
1136,44279.83
1137,44279.83
1138,44279.84
1139,44279.84
1140,44279.84
1141,44279.84
1142,44279.85
1143,44279.85
1144,44279.85
1145,44279.85
1146,44279.85
1147,44279.85
1148,44279.86
1149,44279.86
1150,44279.86
1151,44279.86
1152,44279.87
1153,44279.87
1154,44279.87
1155,44279.87
1156,44279.87
1157,44279.87
1158,44279.88
1159,44279.88
1160,44279.88
1161,44279.88
1162,44279.89
1163,44279.89
1164,44279.89
1165,44279.89
1166,44279.89
1167,44279.89
1168,44279.9
1169,44279.9
1170,44279.9
1171,44279.91
1172,44279.91
1173,44279.91
1174,44279.91
1175,44279.91
1176,44279.91
1177,44279.91
1178,44279.92
1179,44279.92
1180,44279.92
1181,44279.92
1182,44279.92
1183,44279.92
1184,44279.93
1185,44279.93
1186,44279.93
1187,44279.93
1188,44279.94
1189,44279.94
1190,44279.94
1191,44279.94
1192,44279.94
1193,44279.94
1194,44279.95
1195,44279.95
1196,44279.95
1197,44279.95
1198,44279.96
1199,44279.96
1200,44279.96
1201,44279.96
1202,44279.96
1203,44279.96
1204,44279.97
1205,44279.97
1206,44279.97
1207,44279.98
1208,44279.98
1209,44279.98
1210,44279.98
1211,44279.98
1212,44279.98
1213,44279.99
1214,44279.99
1215,44279.99
1216,44279.99
1217,44280.0
1218,44280.0
1219,44280.0
1220,44280.0
1221,44280.0
1222,44280.0
1223,44280.01
1224,44280.01
1225,44280.01
1226,44280.01
1227,44280.01
1228,44280.01
1229,44280.02
1230,44280.02
1231,44280.02
1232,44280.02
1233,44280.03
1234,44280.03
1235,44280.03
1236,44280.03
1237,44280.03
1238,44280.03
1239,44280.04
1240,44280.04
1241,44280.04
1242,44280.05
1243,44280.05
1244,44280.05
1245,44280.05
1246,44280.05
1247,44280.05
1248,44280.06
1249,44280.06
1250,44280.06
1251,44280.06
1252,44280.07
1253,44280.07
1254,44280.07
1255,44280.07
1256,44280.07
1257,44280.07
1258,44280.08
1259,44280.08
1260,44280.08
1261,44280.08
1262,44280.08
1263,44280.08
1264,44280.09
1265,44280.09
1266,44280.09
1267,44280.09
1268,44280.1
1269,44280.1
1270,44280.1
1271,44280.1
1272,44280.1
1273,44280.1
1274,44280.11
1275,44280.11
1276,44280.11
1277,44280.11
1278,44280.12
1279,44280.12
1280,44280.12
1281,44280.12
1282,44280.12
1283,44280.12
1284,44280.13
1285,44280.13
1286,44280.13
1287,44280.13
1288,44280.14
1289,44280.14
1290,44280.14
1291,44280.14
1292,44280.14
1293,44280.14
1294,44280.15
