row_index,WTUR.CTim.Wt.F32.WindValid
395,27798.13
396,27798.13
397,27798.13
398,27798.14
399,27798.14
400,27798.14
401,27798.14
402,27798.14
403,27798.15
404,27798.15
405,27798.15
406,27798.15
407,27798.15
408,27798.16
409,27798.16
410,27798.16
411,27798.16
412,27798.16
413,27798.17
414,27798.17
415,27798.17
416,27798.17
417,27798.17
418,27798.18
419,27798.18
420,27798.18
421,27798.18
422,27798.18
423,27798.18
424,27798.19
425,27798.19
426,27798.19
427,27798.19
428,27798.19
429,27798.2
430,27798.2
431,27798.2
432,27798.2
433,27798.2
434,27798.21
435,27798.21
436,27798.21
437,27798.21
438,27798.21
439,27798.22
440,27798.22
441,27798.22
442,27798.22
443,27798.22
444,27798.23
445,27798.23
446,27798.23
447,27798.23
448,27798.23
449,27798.24
450,27798.24
451,27798.24
452,27798.24
453,27798.24
454,27798.25
455,27798.25
456,27798.25
457,27798.25
458,27798.25
459,27798.26
460,27798.26
461,27798.26
462,27798.26
463,27798.26
464,27798.27
465,27798.27
466,27798.27
467,27798.27
468,27798.28
469,27798.28
470,27798.28
471,27798.28
472,27798.28
473,27798.29
474,27798.29
475,27798.29
476,27798.29
477,27798.29
478,27798.3
479,27798.3
480,27798.3
481,27798.3
482,27798.3
483,27798.31
484,27798.31
485,27798.31
486,27798.31
487,27798.31
488,27798.32
489,27798.32
490,27798.32
491,27798.32
492,27798.32
493,27798.33
494,27798.33
495,27798.33
496,27798.33
497,27798.33
498,27798.34
499,27798.34
500,27798.34
501,27798.34
502,27798.34
503,27798.35
504,27798.35
505,27798.35
506,27798.35
507,27798.35
508,27798.35
509,27798.36
510,27798.36
511,27798.36
512,27798.36
513,27798.36
514,27798.37
515,27798.37
516,27798.37
517,27798.37
518,27798.37
519,27798.38
520,27798.38
521,27798.38
522,27798.38
523,27798.38
524,27798.39
525,27798.39
526,27798.39
527,27798.39
528,27798.39
529,27798.4
530,27798.4
531,27798.4
532,27798.4
533,27798.4
534,27798.41
535,27798.41
536,27798.41
537,27798.41
538,27798.41
539,27798.42
540,27798.42
541,27798.42
542,27798.42
543,27798.42
544,27798.43
545,27798.43
546,27798.43
547,27798.43
548,27798.43
549,27798.44
550,27798.44
551,27798.44
552,27798.44
553,27798.44
554,27798.45
555,27798.45
556,27798.45
557,27798.45
558,27798.45
559,27798.46
560,27798.46
561,27798.46
562,27798.46
563,27798.46
564,27798.47
565,27798.47
566,27798.47
567,27798.47
568,27798.47
569,27798.48
570,27798.48
571,27798.48
572,27798.48
573,27798.48
574,27798.49
575,27798.49
576,27798.49
577,27798.49
578,27798.49
579,27798.5
580,27798.5
581,27798.5
582,27798.5
583,27798.5
584,27798.51
585,27798.51
586,27798.51
587,27798.51
588,27798.51
589,27798.51
590,27798.52
591,27798.52
592,27798.52
593,27798.52
594,27798.52
595,27798.53
596,27798.53
597,27798.53
598,27798.53
599,27798.53
600,27798.54
601,27798.54
602,27798.54
603,27798.54
604,27798.54
605,27798.55
606,27798.55
607,27798.55
608,27798.55
609,27798.55
610,27798.56
611,27798.56
612,27798.56
613,27798.56
614,27798.56
615,27798.57
616,27798.57
617,27798.57
618,27798.57
619,27798.57
620,27798.58
621,27798.58
622,27798.58
623,27798.58
624,27798.58
625,27798.59
626,27798.59
627,27798.59
628,27798.59
629,27798.59
630,27798.6
631,27798.6
632,27798.6
633,27798.6
634,27798.6
635,27798.61
636,27798.61
637,27798.61
638,27798.61
639,27798.61
640,27798.62
641,27798.62
642,27798.62
643,27798.62
644,27798.62
645,27798.63
646,27798.63
647,27798.63
648,27798.63
649,27798.63
650,27798.64
651,27798.64
652,27798.64
653,27798.64
654,27798.64
655,27798.65
656,27798.65
657,27798.65
658,27798.65
659,27798.65
660,27798.66
661,27798.66
662,27798.66
663,27798.66
664,27798.66
665,27798.67
666,27798.67
667,27798.67
668,27798.67
669,27798.67
670,27798.68
671,27798.68
672,27798.68
673,27798.68
674,27798.68
675,27798.69
676,27798.69
677,27798.69
678,27798.69
679,27798.69
680,27798.7
681,27798.7
682,27798.7
683,27798.7
684,27798.7
685,27798.71
686,27798.71
687,27798.71
688,27798.71
689,27798.71
690,27798.72
691,27798.72
692,27798.72
693,27798.72
694,27798.72
695,27798.73
696,27798.73
697,27798.73
698,27798.73
699,27798.73
700,27798.74
701,27798.74
702,27798.74
703,27798.74
704,27798.74
705,27798.75
706,27798.75
707,27798.75
708,27798.75
709,27798.75
710,27798.76
711,27798.76
712,27798.76
713,27798.76
714,27798.76
715,27798.77
716,27798.77
717,27798.77
718,27798.77
719,27798.77
720,27798.78
721,27798.78
722,27798.78
723,27798.78
724,27798.78
725,27798.79
726,27798.79
727,27798.79
728,27798.79
729,27798.79
730,27798.8
731,27798.8
732,27798.8
733,27798.8
734,27798.8
735,27798.81
736,27798.81
737,27798.81
738,27798.81
739,27798.81
740,27798.82
741,27798.82
742,27798.82
743,27798.82
744,27798.82
745,27798.83
746,27798.83
747,27798.83
748,27798.83
749,27798.83
750,27798.84
751,27798.84
752,27798.84
753,27798.84
754,27798.84
755,27798.85
756,27798.85
757,27798.85
758,27798.85
759,27798.85
760,27798.85
761,27798.86
762,27798.86
763,27798.86
764,27798.86
765,27798.86
766,27798.87
767,27798.87
768,27798.87
769,27798.87
770,27798.87
771,27798.88
772,27798.88
773,27798.88
774,27798.88
775,27798.88
776,27798.89
777,27798.89
778,27798.89
779,27798.89
780,27798.89
781,27798.9
782,27798.9
783,27798.9
784,27798.9
785,27798.9
786,27798.91
787,27798.91
788,27798.91
789,27798.91
790,27798.91
791,27798.92
792,27798.92
793,27798.92
794,27798.92
795,27798.92
796,27798.93
797,27798.93
798,27798.93
799,27798.93
800,27798.93
801,27798.94
802,27798.94
803,27798.94
804,27798.94
805,27798.94
806,27798.95
807,27798.95
808,27798.95
809,27798.95
810,27798.95
811,27798.96
812,27798.96
813,27798.96
814,27798.96
815,27798.96
816,27798.97
817,27798.97
818,27798.97
819,27798.97
820,27798.97
821,27798.98
822,27798.98
823,27798.98
824,27798.98
825,27798.98
826,27798.99
827,27798.99
828,27798.99
829,27798.99
830,27798.99
831,27799.0
832,27799.0
833,27799.0
834,27799.0
835,27799.0
836,27799.01
837,27799.01
838,27799.01
839,27799.01
840,27799.01
841,27799.01
842,27799.02
843,27799.02
844,27799.02
845,27799.02
846,27799.02
847,27799.03
848,27799.03
849,27799.03
850,27799.03
851,27799.03
852,27799.04
853,27799.04
854,27799.04
855,27799.04
856,27799.04
857,27799.05
858,27799.05
859,27799.05
860,27799.05
861,27799.05
862,27799.06
863,27799.06
864,27799.06
865,27799.06
866,27799.06
867,27799.07
868,27799.07
869,27799.07
870,27799.07
871,27799.08
872,27799.08
873,27799.08
874,27799.08
875,27799.08
876,27799.09
877,27799.09
878,27799.09
879,27799.09
880,27799.09
881,27799.1
882,27799.1
883,27799.1
884,27799.1
885,27799.1
886,27799.11
887,27799.11
888,27799.11
889,27799.11
890,27799.11
891,27799.12
892,27799.12
893,27799.12
894,27799.12
895,27799.12
896,27799.13
897,27799.13
898,27799.13
899,27799.13
