row_index,WYAW.HydWorkTm
145,10986.0
146,10986.0
147,10986.0
148,10986.0
149,10986.0
150,10986.0
151,10986.0
152,10986.0
153,10986.0
154,10986.0
155,10986.0
156,10986.0
157,10986.0
158,10986.0
159,10986.0
160,10986.0
161,10986.0
162,10986.0
163,10986.0
164,10986.0
165,10986.0
166,10986.0
167,10986.0
168,10986.0
169,10986.0
170,10986.0
171,10986.0
172,10986.0
173,10986.0
174,10986.0
175,10986.0
176,10986.0
177,10986.0
178,10986.0
179,10986.0
180,10986.0
181,10986.0
182,10986.0
183,10986.0
184,10986.0
185,10986.0
186,10986.0
187,10986.0
188,10986.0
189,10986.0
190,10986.0
191,10986.0
192,10986.0
193,10986.0
194,10986.0
195,10986.0
196,10986.0
197,10986.0
198,10986.0
199,10986.0
200,10986.0
201,10986.0
202,10986.0
203,10986.0
204,10986.0
205,10986.0
206,10986.0
207,10986.0
208,10986.0
209,10986.0
210,10986.0
211,10986.0
212,10986.0
213,10986.0
214,10986.0
215,10986.0
216,10986.0
217,10986.0
218,10986.0
219,10986.0
220,10986.0
221,10986.0
222,10986.0
223,10986.0
224,10986.0
225,10986.0
226,10986.0
227,10986.0
228,10986.0
229,10986.0
230,10986.0
231,10986.0
232,10986.0
233,10986.0
234,10986.0
235,10986.0
236,10986.0
237,10986.0
238,10986.0
239,10986.0
240,10986.0
241,10986.0
242,10986.0
243,10986.0
244,10986.0
245,10986.0
246,10986.0
247,10986.0
248,10986.0
249,10986.0
250,10986.0
251,10986.0
252,10986.0
253,10986.0
254,10986.0
255,10986.0
256,10986.0
257,10986.0
258,10986.0
259,10986.0
260,10986.0
261,10986.0
262,10986.0
263,10986.0
264,10986.0
265,10986.0
266,10986.0
267,10986.0
268,10986.0
269,10986.0
270,10986.0
271,10986.0
272,10986.0
273,10986.0
274,10986.0
275,10986.0
276,10986.0
277,10986.0
278,10986.0
279,10986.0
280,10986.0
281,10986.0
282,10986.0
283,10986.0
284,10986.0
285,10986.0
286,10986.0
287,10986.0
288,10986.0
289,10986.0
290,10986.0
291,10986.0
292,10986.0
293,10986.0
294,10986.0
295,10986.0
296,10986.0
297,10986.0
298,10986.0
299,10986.0
300,10986.0
301,10986.0
302,10986.0
303,10986.0
304,10986.0
