row_index,WMAN.Tm
10933,2018-01-04 21:41:14
10934,2018-01-04 21:41:21
10935,2018-01-04 21:41:28
10936,2018-01-04 21:41:35
10937,2018-01-04 21:41:43
10938,2018-01-04 21:41:50
10939,2018-01-04 21:41:57
10940,2018-01-04 21:42:04
10941,2018-01-04 21:42:11
10942,2018-01-04 21:42:19
10943,2018-01-04 21:42:26
10944,2018-01-04 21:42:33
10945,2018-01-04 21:42:40
10946,2018-01-04 21:42:47
10947,2018-01-04 21:42:55
10948,2018-01-04 21:43:02
10949,2018-01-04 21:43:09
10950,2018-01-04 21:43:16
10951,2018-01-04 21:43:23
10952,2018-01-04 21:43:31
10953,2018-01-04 21:43:38
10954,2018-01-04 21:43:45
10955,2018-01-04 21:43:52
10956,2018-01-04 21:43:59
10957,2018-01-04 21:44:07
10958,2018-01-04 21:44:14
10959,2018-01-04 21:44:21
10960,2018-01-04 21:44:28
10961,2018-01-04 21:44:35
10962,2018-01-04 21:44:43
10963,2018-01-04 21:44:50
10964,2018-01-04 21:44:57
10965,2018-01-04 21:45:04
10966,2018-01-04 21:45:12
10967,2018-01-04 21:45:19
10968,2018-01-04 21:45:26
10969,2018-01-04 21:45:33
10970,2018-01-04 21:45:40
10971,2018-01-04 21:45:48
10972,2018-01-04 21:45:55
10973,2018-01-04 21:46:02
10974,2018-01-04 21:46:09
10975,2018-01-04 21:46:16
10976,2018-01-04 21:46:24
10977,2018-01-04 21:46:31
10978,2018-01-04 21:46:38
10979,2018-01-04 21:46:45
10980,2018-01-04 21:46:52
10981,2018-01-04 21:47:00
10982,2018-01-04 21:47:07
10983,2018-01-04 21:47:14
10984,2018-01-04 21:47:21
10985,2018-01-04 21:47:29
10986,2018-01-04 21:47:36
10987,2018-01-04 21:47:43
10988,2018-01-04 21:47:50
10989,2018-01-04 21:47:57
10990,2018-01-04 21:48:05
10991,2018-01-04 21:48:12
10992,2018-01-04 21:48:19
10993,2018-01-04 21:48:26
10994,2018-01-04 21:48:33
10995,2018-01-04 21:48:41
10996,2018-01-04 21:48:48
10997,2018-01-04 21:48:55
10998,2018-01-04 21:49:02
10999,2018-01-04 21:49:09
11000,2018-01-04 21:49:17
11001,2018-01-04 21:49:24
11002,2018-01-04 21:49:31
11003,2018-01-04 21:49:38
11004,2018-01-04 21:49:46
11005,2018-01-04 21:49:53
11006,2018-01-04 21:49:56
11007,2018-01-04 21:50:00
11008,2018-01-04 21:50:08
11009,2018-01-04 21:50:15
11010,2018-01-04 21:50:22
11011,2018-01-04 21:50:29
11012,2018-01-04 21:50:36
11013,2018-01-04 21:50:44
11014,2018-01-04 21:50:51
11015,2018-01-04 21:50:58
11016,2018-01-04 21:51:05
11017,2018-01-04 21:51:12
11018,2018-01-04 21:51:20
11019,2018-01-04 21:51:27
11020,2018-01-04 21:51:34
11021,2018-01-04 21:51:41
11022,2018-01-04 21:51:48
11023,2018-01-04 21:51:56
11024,2018-01-04 21:52:03
11025,2018-01-04 21:52:10
11026,2018-01-04 21:52:17
11027,2018-01-04 21:52:25
11028,2018-01-04 21:52:32
11029,2018-01-04 21:52:39
11030,2018-01-04 21:52:46
11031,2018-01-04 21:52:53
11032,2018-01-04 21:53:01
11033,2018-01-04 21:53:08
11034,2018-01-04 21:53:15
11035,2018-01-04 21:53:22
11036,2018-01-04 21:53:29
11037,2018-01-04 21:53:37
11038,2018-01-04 21:53:44
11039,2018-01-04 21:53:51
11040,2018-01-04 21:53:58
11041,2018-01-04 21:54:05
11042,2018-01-04 21:54:13
11043,2018-01-04 21:54:20
11044,2018-01-04 21:54:27
11045,2018-01-04 21:54:34
11046,2018-01-04 21:54:42
11047,2018-01-04 21:54:49
11048,2018-01-04 21:54:56
11049,2018-01-04 21:55:03
11050,2018-01-04 21:55:10
11051,2018-01-04 21:55:18
11052,2018-01-04 21:55:25
11053,2018-01-04 21:55:32
11054,2018-01-04 21:55:39
11055,2018-01-04 21:55:46
11056,2018-01-04 21:55:54
11057,2018-01-04 21:56:01
11058,2018-01-04 21:56:08
11059,2018-01-04 21:56:15
11060,2018-01-04 21:56:22
11061,2018-01-04 21:56:30
11062,2018-01-04 21:56:37
11063,2018-01-04 21:56:44
11064,2018-01-04 21:56:51
11065,2018-01-04 21:56:58
11066,2018-01-04 21:57:06
11067,2018-01-04 21:57:13
11068,2018-01-04 21:57:20
11069,2018-01-04 21:57:27
11070,2018-01-04 21:57:34
11071,2018-01-04 21:57:42
11072,2018-01-04 21:57:49
11073,2018-01-04 21:57:56
11074,2018-01-04 21:58:03
11075,2018-01-04 21:58:10
11076,2018-01-04 21:58:18
11077,2018-01-04 21:58:25
11078,2018-01-04 21:58:32
11079,2018-01-04 21:58:39
11080,2018-01-04 21:58:47
11081,2018-01-04 21:58:54
11082,2018-01-04 21:59:01
11083,2018-01-04 21:59:08
