row_index,WTUR.TmOK.actTmVal
1013,48903.62
1014,48903.63
1015,48903.63
1016,48903.63
1017,48903.63
1018,48903.63
1019,48903.64
1020,48903.64
1021,48903.64
1022,48903.64
1023,48903.64
1024,48903.65
1025,48903.65
1026,48903.65
1027,48903.65
1028,48903.65
1029,48903.66
1030,48903.66
1031,48903.66
1032,48903.66
1033,48903.66
1034,48903.67
1035,48903.67
1036,48903.67
1037,48903.67
1038,48903.67
1039,48903.68
1040,48903.68
1041,48903.68
1042,48903.68
1043,48903.68
1044,48903.69
1045,48903.69
1046,48903.69
1047,48903.69
1048,48903.69
1049,48903.7
1050,48903.7
1051,48903.7
1052,48903.7
1053,48903.7
1054,48903.71
1055,48903.71
1056,48903.71
1057,48903.71
1058,48903.71
1059,48903.72
1060,48903.72
1061,48903.72
1062,48903.72
1063,48903.72
1064,48903.73
1065,48903.73
1066,48903.73
1067,48903.73
1068,48903.73
1069,48903.74
1070,48903.74
1071,48903.74
1072,48903.74
1073,48903.74
1074,48903.75
1075,48903.75
1076,48903.75
1077,48903.75
1078,48903.75
1079,48903.76
1080,48903.76
1081,48903.76
1082,48903.76
1083,48903.76
1084,48903.77
1085,48903.77
1086,48903.77
1087,48903.77
1088,48903.77
1089,48903.78
1090,48903.78
1091,48903.78
1092,48903.78
1093,48903.78
1094,48903.78
1095,48903.79
1096,48903.79
1097,48903.79
1098,48903.79
1099,48903.79
1100,48903.8
1101,48903.8
1102,48903.8
1103,48903.8
1104,48903.8
1105,48903.81
1106,48903.81
1107,48903.81
1108,48903.81
1109,48903.81
1110,48903.82
1111,48903.82
1112,48903.82
1113,48903.82
1114,48903.82
1115,48903.83
1116,48903.83
1117,48903.83
1118,48903.83
1119,48903.83
1120,48903.84
1121,48903.84
1122,48903.84
1123,48903.84
1124,48903.84
1125,48903.85
1126,48903.85
1127,48903.85
1128,48903.85
1129,48903.85
1130,48903.86
1131,48903.86
1132,48903.86
1133,48903.86
1134,48903.86
1135,48903.87
1136,48903.87
1137,48903.87
1138,48903.87
1139,48903.87
1140,48903.88
1141,48903.88
1142,48903.88
1143,48903.88
1144,48903.88
1145,48903.89
1146,48903.89
1147,48903.89
1148,48903.89
1149,48903.89
1150,48903.9
1151,48903.9
1152,48903.9
1153,48903.9
1154,48903.9
1155,48903.91
1156,48903.91
1157,48903.91
1158,48903.91
1159,48903.91
1160,48903.92
1161,48903.92
1162,48903.92
1163,48903.92
1164,48903.92
1165,48903.93
1166,48903.93
1167,48903.93
1168,48903.93
1169,48903.93
1170,48903.94
1171,48903.94
1172,48903.94
1173,48903.94
1174,48903.94
1175,48903.95
1176,48903.95
1177,48903.95
1178,48903.95
1179,48903.95
1180,48903.95
1181,48903.96
1182,48903.96
1183,48903.96
1184,48903.96
1185,48903.96
1186,48903.97
1187,48903.97
1188,48903.97
1189,48903.97
1190,48903.97
1191,48903.98
1192,48903.98
1193,48903.98
1194,48903.98
1195,48903.98
1196,48903.99
1197,48903.99
1198,48903.99
1199,48903.99
1200,48903.99
1201,48904.0
1202,48904.0
1203,48904.0
1204,48904.0
1205,48904.0
1206,48904.01
1207,48904.01
1208,48904.01
1209,48904.01
1210,48904.01
1211,48904.02
1212,48904.02
1213,48904.02
1214,48904.02
1215,48904.02
1216,48904.03
1217,48904.03
1218,48904.03
1219,48904.03
1220,48904.03
1221,48904.04
1222,48904.04
1223,48904.04
1224,48904.04
1225,48904.04
1226,48904.05
1227,48904.05
1228,48904.05
1229,48904.05
1230,48904.05
1231,48904.06
1232,48904.06
1233,48904.06
1234,48904.06
1235,48904.06
1236,48904.07
1237,48904.07
1238,48904.07
1239,48904.07
1240,48904.07
1241,48904.08
1242,48904.08
1243,48904.08
1244,48904.08
1245,48904.08
1246,48904.09
1247,48904.09
1248,48904.09
1249,48904.09
1250,48904.09
1251,48904.1
1252,48904.1
1253,48904.1
1254,48904.1
1255,48904.1
1256,48904.11
1257,48904.11
1258,48904.11
1259,48904.11
1260,48904.11
1261,48904.12
1262,48904.12
1263,48904.12
1264,48904.12
1265,48904.12
1266,48904.13
1267,48904.13
1268,48904.13
1269,48904.13
1270,48904.13
1271,48904.14
1272,48904.14
1273,48904.14
1274,48904.14
1275,48904.14
1276,48904.15
1277,48904.15
1278,48904.15
1279,48904.15
1280,48904.15
1281,48904.16
1282,48904.16
1283,48904.16
1284,48904.16
1285,48904.16
1286,48904.17
1287,48904.17
1288,48904.17
1289,48904.17
1290,48904.17
1291,48904.18
1292,48904.18
1293,48904.18
1294,48904.18
1295,48904.18
1296,48904.19
1297,48904.19
1298,48904.19
1299,48904.19
1300,48904.19
1301,48904.2
1302,48904.2
1303,48904.2
1304,48904.2
1305,48904.2
1306,48904.21
1307,48904.21
1308,48904.21
1309,48904.21
1310,48904.21
1311,48904.22
1312,48904.22
1313,48904.22
1314,48904.22
1315,48904.22
1316,48904.23
1317,48904.23
1318,48904.23
1319,48904.23
1320,48904.23
1321,48904.24
1322,48904.24
1323,48904.24
1324,48904.24
1325,48904.24
1326,48904.25
1327,48904.25
1328,48904.25
1329,48904.25
1330,48904.25
1331,48904.26
1332,48904.26
1333,48904.26
1334,48904.26
1335,48904.26
1336,48904.27
1337,48904.27
1338,48904.27
1339,48904.27
1340,48904.27
1341,48904.28
1342,48904.28
1343,48904.28
1344,48904.28
1345,48904.28
1346,48904.28
1347,48904.29
1348,48904.29
1349,48904.29
1350,48904.29
1351,48904.29
1352,48904.3
1353,48904.3
1354,48904.3
